,Date,PM2.5 AQI Value,Site Name,Site ID,Source,20-year High (2000-2019),20-year Low (2000-2019),5-year Average (2015-2019),Date of 20-year High,Date of 20-year Low
125,5/5/20,64,Donovan,06-073-1014,AQS,82,19,54.8,5/5/19,5/5/08
126,5/6/20,74,Donovan,06-073-1014,AQS,81,25,47.4,5/6/11,5/6/05
127,5/7/20,80,Donovan,06-073-1014,AQS,77,21,37.4,5/7/01,5/7/08
128,5/8/20,77,Donovan,06-073-1014,AQS,80,23,37,5/8/12,5/8/00
129,5/9/20,83,Pala Airpad,06-073-1201,AQS,77,21,43.2,5/9/12,5/9/05
130,5/10/20,77,Pala Airpad,06-073-1201,AQS,80,28,42.4,5/10/01,5/10/05
131,5/11/20,66,Pala Airpad,06-073-1201,AQS,91,20,45.4,5/11/01,5/11/19
132,5/12/20,62,Pala Airpad,06-073-1201,AQS,92,34,49.4,5/12/01,5/12/19
133,5/13/20,52,Pala Airpad,06-073-1201,AQS,101,31,47.2,5/13/14,5/13/18
134,5/14/20,36,Pala Airpad,06-073-1201,AQS,87,33,47,5/14/14,5/14/18
135,5/15/20,48,Donovan,06-073-1014,AQS,75,25,40.8,5/15/09,5/15/15
136,5/16/20,57,Pala Airpad,06-073-1201,AQS,84,20,43.6,5/16/14,5/16/00
137,5/17/20,62,Pala Airpad,06-073-1201,AQS,86,32,38.4,5/17/06,5/17/18
138,5/18/20,67,Pala Airpad,06-073-1201,AQS,71,30,40,5/18/12,5/18/17
139,5/19/20,42,Pala Airpad,06-073-1201,AQS,74,32,46,5/19/12,5/19/15
140,5/20/20,32,Pala Airpad,06-073-1201,AQS,159,21,42.6,5/20/06,5/20/02
141,5/21/20,53,Donovan,06-073-1014,AQS,74,25,34.4,5/21/12,5/21/02
142,5/22/20,55,Donovan,06-073-1014,AQS,81,20,36.4,5/22/13,5/22/06
143,5/23/20,64,Pala Airpad,06-073-1201,AQS,77,21,36.8,5/23/01,5/23/15
144,5/24/20,72,Pala Airpad,06-073-1201,AQS,73,25,39,5/24/01,5/24/16
145,5/25/20,74,Pala Airpad,06-073-1201,AQS,65,20,31.2,5/25/01,5/25/16
146,5/26/20,76,Pala Airpad,06-073-1201,AQS,74,18,31.4,5/26/05,5/26/17
147,5/27/20,73,Pala Airpad,06-073-1201,AQS,67,14,33.8,5/27/09,5/27/17
148,5/28/20,67,Pala Airpad,06-073-1201,AQS,67,27,40.6,5/28/09,5/28/17
149,5/29/20,57,Pala Airpad,06-073-1201,AQS,62,26,50.2,5/29/03,5/29/08
150,5/30/20,47,Pala Airpad,06-073-1201,AQS,68,35,54.4,5/30/15,5/30/09
151,5/31/20,33,Pala Airpad,06-073-1201,AQS,86,30,53,5/31/01,5/31/09
152,6/1/20,45,Camp Pendleton,06-073-1008,AQS,181,30,49.6,6/1/10,6/1/17
153,6/2/20,62,Donovan,06-073-1014,AQS,68,27,52.2,6/2/13,6/2/05
154,6/3/20,66,Pala Airpad,06-073-1201,AQS,63,35,53,6/3/16,6/3/01
155,6/4/20,75,Pala Airpad,06-073-1201,AQS,65,25,51.6,6/4/16,6/4/08
156,6/5/20,78,Pala Airpad,06-073-1201,AQS,85,17,54.2,6/5/02,6/5/09
157,6/6/20,53,Pala Airpad,06-073-1201,AQS,91,19,47.8,6/6/01,6/6/09
158,6/7/20,44,Pala Airpad,06-073-1201,AQS,76,22,48.2,6/7/01,6/7/09
159,6/8/20,53,Pala Airpad,06-073-1201,AQS,79,27,52.4,6/8/01,6/8/00
160,6/9/20,59,Donovan,06-073-1014,AQS,76,21,51.4,6/9/01,6/9/03
161,6/10/20,92,Donovan,06-073-1014,AQS,76,21,51.8,6/10/19,6/10/03
162,6/11/20,84,Donovan,06-073-1014,AQS,70,26,44.6,6/11/12,6/11/17
163,6/12/20,58,Donovan,06-073-1014,AQS,67,0,46.4,6/12/12,6/12/00
164,6/13/20,46,Donovan,06-073-1014,AQS,80,28,44.6,6/13/06,6/13/15
165,6/14/20,56,Pala Airpad,06-073-1201,AQS,81,33,52.6,6/14/00,6/14/15
166,6/15/20,57,Pala Airpad,06-073-1201,AQS,84,28,57,6/15/10,6/15/09
167,6/16/20,60,Pala Airpad,06-073-1201,AQS,75,15,60,6/16/10,6/16/08
168,6/17/20,60,Pala Airpad,06-073-1201,AQS,85,31,62.4,6/17/03,6/17/05
169,6/18/20,64,Pala Airpad,06-073-1201,AQS,97,24,54.2,6/18/16,6/18/05
170,6/19/20,58,Pala Airpad,06-073-1201,AQS,92,31,56.2,6/19/02,6/19/05
171,6/20/20,63,Pala Airpad,06-073-1201,AQS,74,34,60.8,6/20/16,6/20/03
172,6/21/20,60,Pala Airpad,06-073-1201,AQS,76,32,55.6,6/21/02,6/21/08
173,6/22/20,57,Pala Airpad,06-073-1201,AQS,67,24,51.2,6/22/11,6/22/19
174,6/23/20,57,Pala Airpad,06-073-1201,AQS,68,34,50.6,6/23/08,6/23/19
175,6/24/20,54,Pala Airpad,06-073-1201,AQS,70,41,56.6,6/24/10,6/24/17
176,6/25/20,54,Pala Airpad,06-073-1201,AQS,69,36,59.8,6/25/16,6/25/05
177,6/26/20,48,Pala Airpad,06-073-1201,AQS,75,22,61.6,6/26/17,6/26/10
178,6/27/20,58,Pala Airpad,06-073-1201,AQS,95,27,58.2,6/27/01,6/27/10
179,6/28/20,57,Pala Airpad,06-073-1201,AQS,69,29,50.2,6/28/08,6/28/01
180,6/29/20,38,Pala Airpad,06-073-1201,AQS,66,25,53.6,6/29/09,6/29/10
181,6/30/20,46,El Cajon - Lexington Elementary School,06-073-1022,AQS,76,31,62.8,6/30/01,6/30/11
182,7/1/20,62,Pala Airpad,06-073-1201,AQS,77,18,60.8,7/1/10,7/1/04
183,7/2/20,64,Pala Airpad,06-073-1201,AQS,76,29,52.2,7/2/08,7/2/18
184,7/3/20,59,Pala Airpad,06-073-1201,AQS,93,36,50.2,7/3/08,7/3/02
185,7/4/20,62,Pala Airpad,06-073-1201,AQS,107,34,51,7/4/08,7/4/15
186,7/5/20,61,Pala Airpad,06-073-1201,AQS,117,25,52.2,7/5/08,7/5/15
187,7/6/20,67,Donovan,06-073-1014,AQS,82,22,49.8,7/6/08,7/6/13
188,7/7/20,71,Pala Airpad,06-073-1201,AQS,81,30,55.6,7/7/08,7/7/13
189,7/8/20,85,Donovan,06-073-1014,AQS,80,33,61,7/8/08,7/8/04
190,7/9/20,80,Pala Airpad,06-073-1201,AQS,79,30,58,7/9/08,7/9/04
191,7/10/20,67,Pala Airpad,06-073-1201,AQS,65,27,54.2,7/10/19,7/10/15
192,7/11/20,65,Pala Airpad,06-073-1201,AQS,73,18,52,7/11/12,7/11/15
193,7/12/20,64,Pala Airpad,06-073-1201,AQS,72,25,50.8,7/12/12,7/12/15
194,7/13/20,61,El Cajon - Lexington Elementary School,06-073-1022,AQS,75,36,55.2,7/13/12,7/13/07
195,7/14/20,79,Pala Airpad,06-073-1201,AQS,75,37,55,7/14/19,7/14/17
